NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Study Type,Locations
NCT03186560,"Speckle Study: In Arterial, Mixed and Diabetic Foot Ulcers",https://clinicaltrials.gov/study/NCT03186560,TERMINATED,Leg Ulcer,DEVICE: gekoTM,Firstkind Ltd,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Glenfield Hospital, Leicester, LE3 9QP, United Kingdom|Aneurin Bevan Local Health Board, Newport, NP18 3XG, United Kingdom|Welsh wound Innovation Centre, Wales, cf72 8ux, United Kingdom"
NCT03204149,Evaluation of Safety of Low Level Laser Device Treatment in Chronic Wounds,https://clinicaltrials.gov/study/NCT03204149,TERMINATED,Diabetic Foot Ulcer,DEVICE: MC-8XL low level laser device and Standard wound care|DEVICE: Sham laser device and Standard wound care,Medical Coherence LLC,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Northern District Trauma & Wound Clinics Division, Maccabi Health Care Services, Haifa, Israel"
NCT00462202,"Open Label Tolerability and Safety Study of KRX-101 in Australia, New Zealand, and Hong Kong",https://clinicaltrials.gov/study/NCT00462202,TERMINATED,Diabetic Nephropathy,DRUG: sulodexide,Keryx Biopharmaceuticals,Collaborative Study Group (CSG),ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Monash Medical Center, Melbourne, Victoria, 3168, Australia"
NCT02875704,"Oxidative Stress In Stargardt Disease, Age Related Macular Degeneration and Diabetic Retinopathy",https://clinicaltrials.gov/study/NCT02875704,TERMINATED,Stargardt Disease|Diabetic Retinopathy|Macular Degeneration (Age Related),OTHER: Anterior Chamber (AC) Tap,Johns Hopkins University,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Wilmer Eye Institute, Baltimore, Maryland, 21287, United States"
NCT04910763,"Prediabetes, Exercise, and Appetite Regulation",https://clinicaltrials.gov/study/NCT04910763,TERMINATED,PreDiabetes|Appetitive Behavior,BEHAVIORAL: Resistance Exercise,University of Utah,,ALL,ADULT,,INTERVENTIONAL,"University of Utah, Salt Lake City, Utah, 84112, United States"
NCT02036528,Safety and Efficacy of Gentamicin Topical Gel (AppliGel-G) for Treatment of Mild to Moderately Infected Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT02036528,TERMINATED,Diabetic Foot Ulcers,DRUG: Gentamicin Topical Gel|DRUG: Ciprofloxacin|DRUG: Doxycycline,"Royer Biomedical, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,"Georgetown University Hospital Center, Washington, District of Columbia, 20007, United States|GF Professional Research, Corp., Miami Lakes, Florida, 33016, United States|Florida Medical Center & Research, Inc., Miami, Florida, 33142, United States|Advanced Foot and Ankle Institute of Georgia LLC, Smyrna, Georgia, 30080, United States|Union Memorial Hospital, Baltimore, Maryland, 21218, United States|Detroit Clinical Research Center, PC, Farmington Hills, Michigan, 48334, United States|Utah Valley Medical Center, Provo, Utah, 84604, United States"
NCT02510885,SD-OCT Angiography,https://clinicaltrials.gov/study/NCT02510885,TERMINATED,Neovascular Age-related Macular Degeneration|Age-related Macular Degeneration|Diabetic Retinopathy|Retinal Vein Occlusion|Diabetic Macular Edema,DEVICE: AngioVue SD-OCT,Duke University,Optovue,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Duke Eye Center, Durham, North Carolina, 27710, United States"
NCT02585622,NEPHSTROM for Diabetic Kidney Disease,https://clinicaltrials.gov/study/NCT02585622,TERMINATED,Diabetic Kidney Disease,BIOLOGICAL: Mesenchymal Stromal Cells|OTHER: Placebo,Mario Negri Institute for Pharmacological Research,"Leiden University Medical Center|Papa Giovanni XXIII Hospital|Istituto Di Ricerche Farmacologiche Mario Negri|Belfast Health and Social Care Trust|National University of Ireland, Galway, Ireland|University Hospital Birmingham, NHS Foundation Trust, Hospital, Birmingham, UK|NHS Blood and Transplant",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,"National University of ireland - Galway University Hospital -Regenerative Medicine Institute, Galway, Ireland|ASST - Papa Giovanni XXIII - U.O. Nefrologia e Dialisi/ Mario Negri Institute for Pharmacological Research - Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Bergamo, BG, 24027, Italy|Belfast Health and Social Care Trust - Belfast City Hospital, Belfast, United Kingdom|University Hospital Birmingham NHS Foundation Trust - Queen Elizabeth Medical Centre, Birmingham, United Kingdom"
NCT02313428,Topical Oxygen Therapy for Diabetic Wounds,https://clinicaltrials.gov/study/NCT02313428,TERMINATED,Diabetic Foot Ulcers|Wound,DEVICE: Topical Oxygen Chamber for Extremities,Indiana University,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"IU Health Methodist Hospital, Indianapolis, Indiana, 46202, United States"
NCT02166294,NEOX® CORD 1K vs Standard of Care in Non-healing Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT02166294,TERMINATED,"Foot Ulcer, Diabetic",OTHER: NEOX® CORD 1K|PROCEDURE: Standard of Care (Pressure Bandage),"Amniox Medical, Inc.",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"University of Arizona, Tucson, Arizona, 85724, United States|Center for Clinical Research, Inc., Castro Valley, California, 94115, United States|Ankle and Foot Centers of Georgia, Newnan, Georgia, 30265, United States"
NCT02181621,A RCT to Compare the Effects of Two Wound Products on Biofilm Disruption in DFUs,https://clinicaltrials.gov/study/NCT02181621,TERMINATED,Diabetic Foot Ulcer,DEVICE: Iodosorb|DEVICE: Solosite gel,"Smith & Nephew, Inc.",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"St Lukes Roosevelt Hospital, New York, New York, 10019, United States"
NCT01966380,"Proof of Concept (Design Validation) in Patient With Hard to Heal Wounds Such as Pressure Ulcer, Diabetic Foot Ulcer and Leg Ulcer, Leia",https://clinicaltrials.gov/study/NCT01966380,TERMINATED,Leg Ulcer|Diabetic Foot Ulcer|Pressure Ulcer,DEVICE: Leia,Molnlycke Health Care AB,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Sahlgrenska clinical trial center, Göteborg, 41346, Sweden"
NCT02667327,A Study of Granexin Gel in the Treatment of Diabetic Foot Ulcer,https://clinicaltrials.gov/study/NCT02667327,TERMINATED,Diabetic Foot Ulcers,DRUG: Granexin gel|OTHER: Vehicle gel,"Xequel Bio, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"New Hope Podiatry Group, Inc., Los Angeles, California, 90063, United States|Integral - Clinical Trials Solutions, Doral, Florida, 33126, United States|Direct Helpers Research Center, Hialeah, Florida, 33012, United States|Nirvana Research Center, Miami, Florida, 33193, United States|Acclaim Bone & Joint, Fort Worth, Texas, 76104, United States|Futuro Clinical Trials, LLC, McAllen, Texas, 78501, United States|Centre podiatrique et soins des plaies, Boucherville, Quebec, J4B 5E4, Canada|Clinexpert Kft. - Kaszasdulo utca 5., Budapest, 1033, Hungary|Strazsahegy Medicina Bt., Zrinyi utca 226, Budapest, 1171, Hungary|Shrey Hospital Pvt Ltd, Ahmedabad, Gujarat, 380009, India|Parul Sevashram Hospitals, Ahmedabad, Gujarat, 390020, India|Anand Multispecialty Hospital, Vadodara, Gujarat, 390016, India|Convenient Hospitals Ltd., CHL - Hospitals, Indore, Madhya Pradesh, 452008, India|KLEs Dr. Prabakar Kore Hospital and Medical Research Center, Belgaum, India|Peoples College of Medical Science and Research Centre, Bhopal, India|Marwari Hospital and Research Centre, Guwahati, India|Surakshaka MultiSpecialty and Diabetes Hospital, Hyderabad, India|KRM Hospital and Research Center, Lucknow, India|Sanjay Gandhi Postgraduate Institute of Medical Sciences, Lucknow, India|Fortis Hospital, Mohali, India|K R Hospital and Research Institute, Mysore, India|Supe Heart and Diabetes Hospital and Research Centre, Nashik, India|Batra Hospital and Medical Research Center, New Delhi, India|Aman Hospital and Research Centre, Vadodara, India|Anu Hospitals, Kovelamudivara Street, Vijayawada, India|Instytut Medycyny Wsi - oddz diabetologii ul. Jaczewskiego 2, 20-090 Lublin, Poland, Lublin, Jaczewskiego, 20-090, Poland|NZOZ MED ART. Poradnie Specjalistyczne Ks. Wladyslawa 27, 44-240 Zory, Poland, Zory, Wladyslawa 27, 44-240, Poland|Lubuskie Centrum Diabetologii UI., Budziszynek, Zielon, 20 65-945, Poland|MIKOMED Sp. z o.o. ul., Łódź ., Łódź .Pługowa, 51 94-238, Poland"
NCT06037369,The Short Message-based Customized Standardized,https://clinicaltrials.gov/study/NCT06037369,TERMINATED,Diabetic Foot Ulcer,BEHAVIORAL: customized standardized educational program sent by LINE software.,Chang Gung Memorial Hospital,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Chang Gung Memorial Hospital, Taoyuan City, Taiwan"
NCT00761176,A Pilot Study of the Provant Therapy System in Subjects With Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT00761176,TERMINATED,Diabetic Foot Ulcers,DEVICE: The Provant Therapy System,"Regenesis Biomedical, Inc.",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Winston - Salem Outpatient Clinic, Winston - Salem, North Carolina, 27103, United States"
NCT01608776,RESPOND Restoring Equilibrium and Wound Stimulation to Promote Healing Of Non-healing DFUs,https://clinicaltrials.gov/study/NCT01608776,TERMINATED,Diabetic Foot Ulcer,DEVICE: MIST Therapy|OTHER: SOC - Standard of Care,"Celleration, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Georgetown University Hospital, Washington, District of Columbia, 20007, United States"
NCT00658957,Prevention of Infection Using a Topical Gentamicin-Collagen Sponge in Diabetic Patients With An Uninfected Foot Ulcer,https://clinicaltrials.gov/study/NCT00658957,TERMINATED,Diabetic Foot Ulcer,DRUG: gentamicin-collagen sponge|DRUG: placebo collagen sponge,Innocoll,Premier Research Group plc,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Chesapeake Foot and Ankle Center, Pasadena, Maryland, 21122, United States"
NCT04286529,"Effect of 1,25-dihydroxyvitamin D3, Treatment on Insulin Secretion and Muscle Strength in Pre-diabetic Persons",https://clinicaltrials.gov/study/NCT04286529,TERMINATED,Pre-Diabetic,DRUG: Calcitriol capsules|DRUG: Oral Placebo,Mayo Clinic,,ALL,ADULT,PHASE1,INTERVENTIONAL,"Mayo Clinic, Rochester, Minnesota, 55905, United States"
NCT05666570,The Avelle® Negative Pressure Wound Therapy System on Chronic Wounds,https://clinicaltrials.gov/study/NCT05666570,TERMINATED,Diabetic Foot Ulcer|Venous Leg Ulcer,DEVICE: Avelle NPWT,ConvaTec Inc.,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Convatec Medical Care, Bogota, Cundinamarca, 11001000, Colombia"
NCT01549964,Comparison of Fasiglifam (TAK-875) to Placebo and Sitagliptin in Combination With Metformin in Participants With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT01549964,TERMINATED,Glycemic Control,DRUG: Fasiglifam (TAK-875)|DRUG: Sitagliptin|DRUG: Placebo,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Muscle Shoals, Alabama, United States|Mesa, Arizona, United States|Peoria, Arizona, United States|Phoenix, Arizona, United States|Chula Vista, California, United States|El Cajon, California, United States|La Mesa, California, United States|Laguna Hills, California, United States|National City, California, United States|Paramount, California, United States|San Diego, California, United States|Stockton, California, United States|Tustin, California, United States|West Hills, California, United States|Trumbull, Connecticut, United States|Coral Gables, Florida, United States|Jacksonville, Florida, United States|Miami, Florida, United States|New Port Richey, Florida, United States|Ocala, Florida, United States|West Palm Beach, Florida, United States|Meridian, Idaho, United States|Chicago, Illinois, United States|Greenfield, Indiana, United States|Muncie, Indiana, United States|Lexington, Kentucky, United States|Owensboro, Kentucky, United States|Hyattsville, Maryland, United States|Troy, Michigan, United States|Picayune, Mississippi, United States|St. Louis, Missouri, United States|Haddon Heights, New Jersey, United States|Rosedale, New York, United States|Calabash, North Carolina, United States|Charlotte, North Carolina, United States|Monroe, North Carolina, United States|Morehead City, North Carolina, United States|Winston-Salem, North Carolina, United States|Cincinnati, Ohio, United States|Cleveland, Ohio, United States|Dayton, Ohio, United States|Norman, Oklahoma, United States|Lancaster, Pennsylvania, United States|Levittown, Pennsylvania, United States|Spartanburg, South Carolina, United States|Crossville, Tennessee, United States|Memphis, Tennessee, United States|Carrollton, Texas, United States|Houston, Texas, United States|Irving, Texas, United States|Katy, Texas, United States|McKinney, Texas, United States|Plano, Texas, United States|San Antonio, Texas, United States|Spring, Texas, United States|Salt Lake City, Utah, United States|West Jordan, Utah, United States|Richmond, Virginia, United States|Camperdown, New South Wales, Australia|Maroubra, New South Wales, Australia|Redcliffe, Queensland, Australia|Adelaide, South Australia, Australia|Daw Park, South Australia, Australia|Box Hill, Victoria, Australia|Fitzroy, Victoria, Australia|Melbourne, Victoria, Australia|Byala, Bulgaria|Kazanlak, Bulgaria|Plovdiv, Bulgaria|Sofia, Bulgaria|Cakovec, Croatia|Karlovac, Croatia|Krapinske Toplice, Croatia|Rijeka, Croatia|Slavonski Brod, Croatia|Split, Croatia|Zadar, Croatia|Zagreb, Croatia|Beroun, Czech Republic|Brno, Czech Republic|Havlickuv Brod, Czech Republic|Kladno, Czech Republic|Kromeriz, Czech Republic|Mlada Boleslav, Czech Republic|Ostrava - Moravska Ostrava, Czech Republic|Ostrava, Czech Republic|Pardubice, Czech Republic|Pisek, Czech Republic|Plzen, Czech Republic|Praha 11, Czech Republic|Praha 2, Czech Republic|Praha 5, Czech Republic|Praha 6, Czech Republic|Praha 8, Czech Republic|Usti nad Labem, Czech Republic|Baja, Hungary|Balatonfured, Hungary|Budaors, Hungary|Budapest, Hungary|Debrecen, Hungary|Eger, Hungary|Godollo, Hungary|Gyongyos, Hungary|Gyula, Hungary|Hodmezovasarhely, Hungary|Kecskemet, Hungary|Kistelek, Hungary|Kisvarda, Hungary|Komarom, Hungary|Mohacs, Hungary|Nyiregyhaza, Hungary|Pecs, Hungary|Szeged, Hungary|Szekszard, Hungary|Szikszo, Hungary|Szolnok, Hungary|Szombathely, Hungary|Urhida, Hungary|Veszprem, Hungary|Zalaegerszeg, Hungary|Sesto San Giovanni, Milano, Italy|Firenze, Italy|Milano, Italy|Pavia, Italy|Goyang-si, Gyeonggi-do, Korea, Republic of|Seongnam-Si, Gyeonggi-do, Korea, Republic of|Incheon, Korea, Republic of|Seoul, Korea, Republic of|Johor Bahru, Johor, Malaysia|Alor Setar, Kedah, Malaysia|Kota Bharu, Kelantan, Malaysia|Cheras, Kuala Lumpur, Malaysia|Lembah Pantai, Kuala Lumpur, Malaysia|Petaling Jaya, Selangor, Malaysia|Kelantan, Malaysia|Kuala Lumpur, Malaysia|Banska Bystrica, Slovakia|Bardejov, Slovakia|Bratislava, Slovakia|Kosice - Saca, Slovakia|Kosice, Slovakia|Levice, Slovakia|Lucenec, Slovakia|Moldava nad Bodvou, Slovakia|Nitra, Slovakia|Pezinok, Slovakia|Presov, Slovakia|Prievidza, Slovakia|Sahy, Slovakia|Stropkov, Slovakia|Sturovo, Slovakia|Svidnik, Slovakia|Trebisov, Slovakia|Trencin, Slovakia|Zilina, Slovakia|Patumwan, Bangkok, Thailand|Rachathevi, Bangkok, Thailand|Rajtevi, Bangkok, Thailand|Ratchathewi, Bangkok, Thailand|Muang, Chiang Mai, Thailand|Muang, Nakhon Ratchasima, Thailand|Hatyai, Songkhla, Thailand|Bangkok, Thailand|Khon Kaen, Thailand"
NCT05608187,Evaluating Safety and Biological Effect on Wound Healing of ILP100-Topical in Subjects With Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT05608187,TERMINATED,Wound Heal|Wound Healing Disturbance of|Wound Healing Disorder|Wound Healing Delayed|Diabetic Foot Ulcer|Diabetic Foot Ulcer Mixed,BIOLOGICAL: ILP100-Topical (emilimogene sigulactibac) 5x10^7 CFU/cm^2|BIOLOGICAL: ILP100-Topical (emilimogene sigulactibac) 1x10^9 CFU/cm^2|BIOLOGICAL: Placebo,Ilya Pharma,European Commission,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Department of Endocrinology, Skåne University Hospital, Lund, 221 85, Sweden|Clinical Diabetes Research Unit at Uppsala University Hospital, Uppsala, Sweden"
NCT01199783,Application of Daptomycin in MRSA Infected Diabetic Foot in Comparison to Vancomycin Treatment,https://clinicaltrials.gov/study/NCT01199783,TERMINATED,Diabetic Foot,DRUG: Daptomycin|DRUG: Vancomycin,Ruhr University of Bochum,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Herz- und Diabeteszentrum, Bad Oeynhausen, 32545, Germany"
NCT05494450,"An Open, Non-comparative, Multicenter Investigation to Evaluate the Safety and Performance of Exufiber Ag+, a Gelling Fiber Silver Dressing, When Used in Medium to High Exuding Chronic Wounds",https://clinicaltrials.gov/study/NCT05494450,TERMINATED,Pressure Ulcer|Diabetic Foot Ulcer|Venous Leg Ulcer,DEVICE: ExufiberAG+,Molnlycke Health Care AB,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Center for Clinical Research, San Francisco, California, 94115, United States|Sycamore Wound Care and Hyperbaric Center, Miamisburg, Ohio, 45342, United States"
NCT05438251,"Exploring the Effect of Fespixon Cream for the Treatment of Diabetic Foot Ulcers (TEXAS 3A, 3B)",https://clinicaltrials.gov/study/NCT05438251,TERMINATED,Diabetic Foot Ulcer (DFU),DRUG: Fespixon Cream,"Oneness Biotech Co., Ltd.",China Medical University Hospital,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"China Medical University Hospital, Taichung, 40447, Taiwan"
NCT00762138,The AutoloGel™ Post-Market Surveillance (TAPS) Program,https://clinicaltrials.gov/study/NCT00762138,TERMINATED,Wounds|Leg Ulcers|Pressure Ulcers|Diabetic Foot Ulcers,DEVICE: AutoloGel System,Cytomedix,CTI Clinical Trial and Consulting Services,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Aiyan Diabetes Center, Augusta, Georgia, 30809, United States|Providence Wound Institute, El Paso, Texas, 79902, United States"
NCT00837096,A Study Comparing V.A.C. Negative Pressure Wound Therapy (NPWT) to Moist Wound Therapy (MWT) in the Treatment of Diabetic Foot Amputation Wounds,https://clinicaltrials.gov/study/NCT00837096,TERMINATED,Diabetic Amputation Foot Wound,DEVICE: V.A.C. Therapy|DEVICE: Moist wound therapy (MWT),"KCI USA, Inc",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,
NCT00823225,Urokinase Therapy in Patients With Diabetic Foot Syndrome,https://clinicaltrials.gov/study/NCT00823225,TERMINATED,Diabetic Foot|Arterial Occlusive Disease|Ischemia,PROCEDURE: standard therapy|DRUG: Urokinase,medac GmbH,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Franziskus Krankenhaus, Berlin, Germany|Klinikum Dortmund Nord GmbH, Dortmund, Germany|Krankenhaus Dresden-Neustadt, Dresden, Germany|Universitätsklinik, Dresden, Germany|Weißeritztal-Kliniken GmbH, Freital, Germany|Klinikum Karlsbad Langensteinbach, Karlsbad, Germany"
NCT04962139,Evaluate the Safety and Efficacy of ON101 Cream for the Treatment of Chronic Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT04962139,TERMINATED,Chronic Diabetic Foot Ulcers,DRUG: ON101 Cream|OTHER: Vehicle Cream,"Oneness Biotech Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Oneness Investigational Site, Mesa, Arizona, 85206, United States|Oneness Investigational Site, Carlsbad, California, 92009, United States|Oneness Investigational Site, Castro Valley, California, 94546, United States|Oneness Investigational Site, Fresno, California, 93710, United States|Oneness Investigational Site, San Francisco, California, 94117, United States|Oneness Investigational Site, Sylmar, California, 91342, United States|Oneness Investigational Site, Miami Lakes, Florida, 33016, United States|Oneness Investigational Site, Miami, Florida, 33165, United States|Oneness Investigational Site, North Miami Beach, Florida, 33321, United States|Oneness Investigational Site, Mount Prospect, Illinois, 60056, United States|Oneness Investigational Site, O'Fallon, Illinois, 62269, United States|Oneness Investigational Site, Springfield, Illinois, 62704, United States|Oneness Investigational Site, Dallas, Texas, 75251, United States|Oneness Investigational Site, McAllen, Texas, 78501, United States"
NCT04927702,Assessment of Wound Closure Comparing Synthetic Hybrid-Scale Fiber Matrix With Standard of Care in Treating Diabetic Foot Ulcers (DFU) and With Living Cellular Skin Substitute in Treating Venous Leg Ulcers (VLU),https://clinicaltrials.gov/study/NCT04927702,TERMINATED,Diabetic Foot Ulcer|Venous Leg Ulcer,DEVICE: Synthetic Hybrid-Scale Fiber Matrix|DEVICE: Standard of Care|DEVICE: Living Cellular Skin Substitute,"Acera Surgical, Inc.",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"ILD Research Center, Vista, California, 92083, United States|University of Florida - Jacksonville, Jacksonville, Florida, 32209, United States|Barry University, Miami Beach, Florida, 33169, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|Boston Medical Center, Boston, Massachusetts, 02118, United States|Gundersen Health System, La Crosse, Wisconsin, 54601, United States"
NCT00605189,A Trial Examining Cellular Energetics Related to Various Wound Treatment Therapies,https://clinicaltrials.gov/study/NCT00605189,TERMINATED,Diabetic Foot Ulcers,DEVICE: Powered Suction Pump (VAC Freedom)|DEVICE: Powered Suction Pump|DEVICE: MWT,"KCI USA, Inc",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"The Ohio State University Medical Center, Columbus, Ohio, 43210, United States|University of Texas Health Science Center San Antonio, San Antonio, Texas, 78229, United States"
NCT00672451,Rhubarb and Angiotensin Converting Enzyme Inhibitor,https://clinicaltrials.gov/study/NCT00672451,TERMINATED,Diabetic Kidney Disease,DIETARY_SUPPLEMENT: rhubarb extract|DIETARY_SUPPLEMENT: placebo,Wake Forest University,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Wake Forest University Heath Sciences, Winston-Salem, North Carolina, 27157, United States"
NCT00512538,Apligraf Versus Standard Therapy in the Treatment of Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT00512538,TERMINATED,Diabetic Foot,DEVICE: Bi-layered cell therapy (Apligraf),Organogenesis,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT00399425,Efficacy of a Low-Molecular-Weight Heparin (Bemiparin) in the Treatment of Chronic Foot Ulcers in Diabetic Patients,https://clinicaltrials.gov/study/NCT00399425,TERMINATED,"Foot Ulcer, Diabetic|Diabetic Angiopathies",DRUG: bemiparin (low molecular weight heparin),Spanish National Health System,Carlos III Health Institute|Rovi Pharmaceuticals Laboratories,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,INTERVENTIONAL,
NCT00448526,Effect of Low Protein Diet in Preventing the Progression of Diabetic Nephropathy,https://clinicaltrials.gov/study/NCT00448526,TERMINATED,Diabetic Nephropathies,BEHAVIORAL: low protein diet,Kanazawa Medical University,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,
NCT04634838,Efficacy of Wound Dressings With Copper Oxide,https://clinicaltrials.gov/study/NCT04634838,TERMINATED,Pressure Ulcer|Diabetic Foot Ulcer,DEVICE: MedCu Antibacterial Wound Dressings with Copper Oxide,MedCu Technologies Ltd.,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Loewenstein Rehabilitation Center, Ra'anana, Israel"
NCT04577183,"A Prospective, Open Label, Multicenter Trial for Evaluating the Efficacy of Treating and Managing Wounds in Elderly Population in Specialized Nursing Facilities Using RD1",https://clinicaltrials.gov/study/NCT04577183,TERMINATED,Diabetic Foot Ulcer|Pressure Ulcer|Venous Leg Ulcer|Trauma Injury|Skin Tear|Chronic Ulcer,DEVICE: RD1 System,RedDress Ltd.,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Sunnyview Nursing & Rehabilitation Center, Butler, Pennsylvania, 16001, United States"
NCT00316537,Safety and Preliminary Efficacy Study of Nicotine Gel to Treat Diabetic Foot Ulcers,https://clinicaltrials.gov/study/NCT00316537,TERMINATED,Diabetic Foot Ulcers,DRUG: ATG002 (study drug),CoMentis,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,"SeniorCare, Alabama Geriatric Specialists, Homewood, Alabama, 35209, United States|Hope Research Institute, Phoenix, Arizona, 85050, United States|Southern Arizona VA Health Care System, Tucson, Arizona, 85723, United States|Center for Clinical Research, Castro Valley, California, 94546, United States|University of San Diego Wound Treatment and Research Center, San Diego, California, 92103, United States|University of Miami, Miami, Florida, 33136, United States|Ankle and Foot Specialists of Atlanta, Lithonia, Georgia, 30058, United States|Crossroads Research, Inc., Owings Mills, Maryland, 21117, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, 27599, United States|NewBridge Medical Research, Warren, Pennsylvania, 16365, United States|Central Washington Podiatry Service, Yakima, Washington, 98902, United States|Aurora Health Care / Lukes Medical Center, Milwaukee, Wisconsin, 53215, United States"
NCT00171600,Antialbuminuric Effects of Valsartan and Lisinopril,https://clinicaltrials.gov/study/NCT00171600,TERMINATED,Hypertension|Early Diabetic Nephropathy,"DRUG: VALSARTAN, VALSARTAN PLUS HCTZ, LISINOPRIL, LISINOPRIL PLUS HCTZ",Novartis,,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Novartis Pharmaceuticals, Basel, Switzerland"
NCT05199090,"Study to Assess Safety, Tolerability and Efficacy of SC Administered MBL949 in Obese Participants With or Without T2DM",https://clinicaltrials.gov/study/NCT05199090,TERMINATED,Obesity,DRUG: MBL949|DRUG: Placebo,Novartis Pharmaceuticals,,ALL,ADULT,PHASE2,INTERVENTIONAL,"Novartis Investigative Site, Miami, Florida, 33135, United States|Novartis Investigative Site, Morehead City, North Carolina, 28557, United States|Novartis Investigative Site, Knoxville, Tennessee, 37920, United States|Novartis Investigative Site, Dallas, Texas, 75230, United States"
NCT00065559,Treatment of Diabetic Nephropathy,https://clinicaltrials.gov/study/NCT00065559,TERMINATED,Diabetic Nephropathy,DRUG: celecoxib,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Rush Presbyterian St. Luke's Medical Center, Chicago, Illinois, 60612, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States"
NCT04240574,Debritom - Micro Water Jet Technology and Wound Healing,https://clinicaltrials.gov/study/NCT04240574,TERMINATED,Diabetic Foot Ulcer|Non-healing Wound|Non-Healing Ulcer of Skin|Venous Leg Ulcer|Venous Ulcer,DEVICE: Debritom,Stephanie Wu,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Rosalind Franklin University Health Clinics, North Chicago, Illinois, 60064, United States"
NCT04186377,Application of S26E for Diabetic Foot Ulcer Healing,https://clinicaltrials.gov/study/NCT04186377,TERMINATED,Diabetic Foot|Neuropathic Foot Ulcer|Chronic Diabetic Ulcer of Left Foot (Diagnosis)|Chronic Diabetic Foot Ulcer of Right Foot,OTHER: Standard-of-care for neuropathic/neuroischemic diabetic foot ulcers|DRUG: S26E,National and Kapodistrian University of Athens,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Diabetes Clinical Research Laboratory, 1st Department of Propaedeutic Internal Medicine, Athens, 11527, Greece"
